title,description,categories
Washington Square,"With a new afterword by Michael CunninghamWhat Catherine Sloper lacks in brains and beauty, she makes up for by being ""very good."" The handsome Morris Townsend would do anything to win her hand-even if it means pretending that he loves the homely ingenue, and cares nothing for her opulent wealth.


Throughout time, the women of the world always had limited rights when it came to anything. You could almost say they were being discriminated just because of their gender. However, this all changed because of one woman in particular: Deborah Sampson. Deborah Sampson was the first known American woman to impersonate a man in order to join the army and take part in combat. She was born in Plympton, Massachusetts on December 17, 1760 as the oldest of three daughters and three sons of Jonathan and Deborah Sampson. Her family descended from one of the original colonists, Priscilla Mullins Alden, who was John Alden’s wife and later immortalized in Longfellow's poem, ""The Courtship of Miles Standish."" ((Quote)…Near him was seated John Alden, his friend, and household companion…) Deborah's youth was spent in poverty. Her father abandoned the family we she was young and went off to sea. Her mother was of poor health and could not support the children, so she sent them off to live with various neighbors and relatives. At the young age of around 8-10, Deborah Sampson became an indentured servant in the household of Jeremiah and Susannah Thomas in Middleborough, Massachusetts. For ten years she helped with the housework and worked in the field. All the hard labor developed her physical strength. With the Thomas family, she gained a tremendous amount of knowledge. She often learned from the books that were lying around the house while she worked. Deborah became very interested in politics. In winter, when there wasn't as much farm work to be done, Jeremiah allowed her to attend school. When she turned 18, she could not serve the Thomas household. But she lived with them for 2 more years, and worked as a weaver and she was hired as a teacher in a Middleborough public school. On May 20, 1782, when she was twenty-one, Deborah Sampson enlisted in the Fourth Massachusetts Regiment of the Continental Army at Bellingham as a man named Robert Shurtleff (also listed as Shirtliff or Shirtlieff). On May 23rd, she was assembled into service at Worcester. Being 5 foot 7 inches tall, she looked tall for a woman with a male physique. Other soldiers teased her about not having to shave, but they assumed that this ""boy"" was just too young to grow facial hair. She performed her duties as well as any other man, in countless battles. Back home, rumors started to spread about her activities and she was excommunicated from the First Baptist Church of Middleborough, Massachusetts, because of a strong suspicion that she was ""dressing in man's clothes and enlisting as a Soldier in the Army."" At the time of her excommunication, her regiment had already left Massachusetts. Sampson was sent with her regiment to West Point, New York, where she was wounded in the thigh by a musket ball and cut in the forehead in a battle near Tarrytown. Knowing that people would know the truth if she got medical attention, she only got her forehead treated and tended her own wounds by removing the musket ball with a penknife and sewing the wound herself so that her gender would not be discovered. As a result, her leg never healed properly. However, in 1783, when she was later hospitalized for fever in Philadelphia, the physician Barnabas Binney attending her discovered that she was a woman and he took her to his home where his wife and daughters took care of Deborah. When the Treaty of Paris was signed in September 1783, Dr. Binney sent Deborah to George Washington with a note. Although her secret was found out, George Washington never said anything. Sampson was honorably discharged from the army at West Point on October 25, 1783 by General Henry Knox with money to cover her travel fee. Deborah Sampson returned home, married a farmer named Benjamin Gannett, and had three children: Earl, Mary and Patience. She also taught at a nearby school. In 1802, Sampson traveled throughout New England and New York giving lectures on her experiences in the military. During her lectures, she wore her military uniform. About nine years after her discharge from the army, she was awarded a pension from the state of Massachusetts in the amount of thirty-four pounds in a lump payment. But even with that kind of money, her financial problem continued on. She would often borrow money from friends and relatives, primarily from her friend Paul Revere. She did not get any pension from the army like the rest of the soldiers even though she had been honorably discharged, simply because she was a woman. After Paul Revere sent a letter to Congress on her behalf in 1804, she started receiving a U.S. pension in the amount of four dollars per month. In 1809, Deborah Sampson finally sent a petition to the Congress requesting that her pension as an invalid soldier would be from the start of 1783, to the time she was discharged. This would mean that her cumulative pension would amount to $960 which would give her $48 per month. This time, the Congress approved her request and granted her $76 per month as pension instead. With this money, she was able to pay off all her debts and take better care of her family. Deborah Sampson Gannett died April 29, 1827 in Sharon, Massachusetts, at age sixty-six. Her children were awarded compensation by a special act of Congress ""for the relief of the heirs of Deborah Gannett, a soldier of the Revolution, deceased."" She is now buried in the Rockridge Cemetery in Sharon, Massachusetts. Her actions of impersonating a man truly touched many people, showing that women can do anything just as good as men can and also telling women to pursue their dreams, no matter what others say. She may have been a significant person in history, but she changed the world’s way of thinking. She inspired women to gain their rights.",romance
Like Water for Chocolate,,none
The Golden Compass,,motion pictures
The Secret Life of Bees,"Sue Monk Kidd's ravishing debut novel has stolen the hearts of reviewers and readers alike with its strong, assured voice. Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted ""stand-in mother,"" Rosaleen, insults three of the town's fiercest racists, Lily decides they should both escape to Tiburon, South Carolina—a town that holds the secret to her mother's past. There they are taken in by an eccentric trio of black beekeeping sisters who introduce Lily to a mesmerizing world of bees, honey, and the Black Madonna who presides over their household. This is a remarkable story about divine female power and the transforming power of love—a story that women will share and pass on to their daughters for years to come.",teenage girls
The Fault In Our Stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.
([source][1])


  [1]: http://www.johngreenbooks.com/the-fault-in-our-stars",young adult fiction
Nostromo,"A gripping tale of capitalist exploitation and rebellion, set amid the mist-shrouded mountains of a fictional South American republic, employs flashbacks and glimpses of the future to depict the lure of silver and its effects on men. Conrad's deep moral consciousness and masterful narrative technique are at their best in this, one of his greatest works.",fiction
Finnegans Wake,"Follows a man's thoughts and dreams during a single night. It is also a book that participates in the re-reading of Irish history that was part of the revival of the early 20th century. The author also wrote ""Ulysses"", ""Dubliners"" and ""Portrait of an Artist as a Young Man"".",facsimiles
The Brethren,"The ""Brethren"" are three disgraced former judges incarcerated at a fictional federal minimum security prison who embark on a scam to blackmail wealthy closeted gay men.  Unfortunately, the judges ensnare a candidate for U.S. President backed by the CIA.",prisoners
Coraline,"When Coraline steps through a door to find another house strangely similar to her own (only better), things seem marvelous.

But there's another mother there, and another father, and they want her to stay and be their little girl. They want to change her and never let her go.

Coraline will have to fight with all her wit and courage if she is to save herself and return to her ordinary life.",fantasy
Heart of Darkness,"Heart of Darkness (1899) is a novella by Polish-English novelist Joseph Conrad, about a voyage up the Congo River into the Congo Free State, in the heart of Africa, by the story's narrator Charles Marlow. Marlow tells his story to friends aboard a boat anchored on the River Thames. Joseph Conrad is one of the greatest English writers, and Heart of Darkness is considered his best.  His readers are brought to face our psychological selves to answer, ‘Who is the true savage?’. Originally published in 1902, Heart of Darkness remains one of this century’s most enduring works of fiction. Written several years after Joseph Conrad’s grueling sojourn in the Belgian Congo, the novel is a complex meditation on colonialism, evil, and the thin line between civilization and barbarity.",fiction
On the Banks of Plum Creek,"Laura and her family move to Minnesota where they live in a dugout until a new house is built and face misfortunes caused by flood, blizzard, and grasshoppers.",fiction
Rebecca of Sunnybrook Farm,,"maine, fiction"
The Ambassadors,"Chad Newsome has gone to Paris. He is charmed by Old World fascinations and caught up in the leisurely craft and bohemian direction of European worldliness. An older woman of rank and adventurous but subtle skill, Madame de Vionnet, strokes his ego and does her best to keep Chad in Paris indefinitely. Chad's mother lives in Woollett, Mass., and wants her son to return to run the family business. Mrs. Newsome is an invalid and cannot go to Paris to fetch her son herself, so she employs Lambert Strether and Sarah Pocock to return Chad to Massachusetts. Sarah has been to Paris before and is aware of its attractiveness, so her determination to succeed in this task is fixed and uncompromising. Strether is of later middle age, however, and inspired by the fairytale of a beautiful life in Europe. Mrs. Newsome has promised to marry Strether if he can bring Chad home. Strether is completely enamored by the Parisian character and its enchantments and has a difficult time completing his mission. The drama of reestablishing Chad in business in America and of coming to terms with the mythological romance of France leaves the reader unbalanced, trying to recover equilibrium in the real world. Those involved with Chad's rescue are compelled to recognize the deep intimacies of personal attachment and the accepted proprieties of direct consequence. The success and failures of such an undertaking are unpredictable. The result of every character's attempt to steer Chad rightly is a strange conglomeration of role reversal, fantasy, and truth.",man-woman relationships
